Connection ID	Source		Destination		Path			VCID List			Path Cost
2		23		18			23->18			1000				1
3		14		5			14->7->6->5			1200,1180,1160				3
4		9		14			9->12->14			1400,1350				2
5		20		15			20->18->15			1600,1518				2
6		7		22			7->8->12->17->22			1800,1764,1728,1692				4
8		14		19			14->13->19			2000,1934				2
15		18		9			18->17->12->9			2200,2186,2172				3
17		13		7			13->7			2400				1
20		23		7			23->18->14->7			2600,2506,2412				3
24		0		4			0->1->2->3->4			2800,2706,2612,2518				4
28		20		22			20->18->22			3000,2972				2
29		18		20			18->20			3200				1
30		23		0			23->17->12->8->0			3400,3324,3248,3172				4
34		21		15			21->18->15			3600,3516				2
38		14		20			14->13->19->20			3800,3768,3736				3
42		11		14			11->12->14			4000,3976				2
44		18		10			18->15->10			4200,4146				2
47		21		18			21->18			4400				1
54		14		16			14->17->16			4600,4561				2
55		14		19			14->13->19			4800,4754				2
57		14		6			14->7->6			5000,4987				2
59		17		15			17->15			5200				1
60		11		21			11->17->18->21			5400,5343,5286				3
61		9		0			9->0			5600				1
62		22		12			22->17->12			5800,5754				2
63		11		17			11->17			6000				1
64		11		15			11->10->15			6200,6148				2
66		16		14			16->17->14			6400,6312				2
67		21		17			21->18->17			6600,6583				2
68		5		13			5->6->7->13			6800,6755,6710				3
70		4		7			4->5->6->7			7000,6940,6880				3
72		3		2			3->2			7200				1
74		15		21			15->18->21			7400,7334				2
79		1		14			1->0->8->14			7600,7538,7476				3
80		0		10			0->9->10			7800,7751				2
81		7		14			7->14			8000				1
83		12		22			12->17->22			8200,8120				2
85		12		15			12->17->15			8400,8336				2
86		7		20			7->13->19->20			8600,8547,8494				3
87		9		15			9->10->15			8800,8726				2
92		5		7			5->6->7			9000,8990				2
95		13		15			13->12->17->15			9200,9118,9036				3
96		0		7			0->8->7			9400,9373				2
98		14		0			14->8->0			9600,9514				2
